,decade,school,counts,image_url
205,1770,unknown,1,http://farm4.staticflickr.com/3761/11219143325_8399ea4b47_b.jpg
206,1770,london,1,http://farm6.staticflickr.com/5535/11219137204_23b21e70f4_b.jpg
207,1770,geneve,1,http://farm4.staticflickr.com/3808/11219140195_72d2f7ebb5_b.jpg
208,1770,london,1,http://farm3.staticflickr.com/2824/11219265383_31fbd31e90_b.jpg
209,1770,london,1,http://farm4.staticflickr.com/3780/11219159986_dbe3aa2b67_b.jpg
210,1770,london,1,http://farm4.staticflickr.com/3758/11219146745_aa1308213a_b.jpg
211,1770,geneve,1,http://farm8.staticflickr.com/7324/11219254533_8700fef695_b.jpg
212,1770,london,1,http://farm6.staticflickr.com/5505/11219156786_3a3ce73321_b.jpg
213,1770,london,1,http://farm4.staticflickr.com/3674/11219148616_3367afdfde_b.jpg
214,1770,geneve,1,http://farm8.staticflickr.com/7318/11219139634_2eb72c0c85_b.jpg
215,1780,dublin,1,http://farm4.staticflickr.com/3678/11219276153_b14de5ba01_b.jpg
216,1780,dublin,1,http://farm4.staticflickr.com/3713/11219167726_e9074b5c69_b.jpg
217,1780,dublin,1,http://farm6.staticflickr.com/5483/11219155775_8220778c93_b.jpg
218,1780,j. johnson,1,http://farm3.staticflickr.com/2854/11219289663_dcc3a3778c_b.jpg
219,1780,"london,]",1,http://farm6.staticflickr.com/5510/11219154624_08ff8266ef_b.jpg
220,1780,"newcastle-upon-tyne, gateshead, north shields, etc",1,http://farm4.staticflickr.com/3709/11219281923_a16386b1e6_b.jpg
221,1780,london,1,http://farm4.staticflickr.com/3770/11219169895_ce93ec115a_b.jpg
222,1780,paris,1,http://farm6.staticflickr.com/5480/11219150394_731db2ae60_b.jpg
223,1780,"newcastle-upon-tyne, gateshead, north shields, etc",1,http://farm8.staticflickr.com/7373/11219280753_bc8ee1b0f5_b.jpg
224,1780,london,1,http://farm8.staticflickr.com/7340/11219149875_52a1c63b08_b.jpg
225,1780,dublin,1,http://farm4.staticflickr.com/3788/11219155915_e494ea10ba_b.jpg
226,1780,london,1,http://farm6.staticflickr.com/5540/11219285163_5ef3d2b092_b.jpg
227,1780,london,1,http://farm4.staticflickr.com/3700/11219282773_24477baf84_b.jpg
228,1780,northampton,1,http://farm8.staticflickr.com/7314/11219175416_354465368c_b.jpg
229,1780,j. johnson,1,http://farm6.staticflickr.com/5481/11219175144_2c8e7888f0_b.jpg
230,1780,dublin,1,http://farm6.staticflickr.com/5493/11219158465_2b3fde4a43_b.jpg
231,1780,bathoni,1,http://farm4.staticflickr.com/3746/11219152124_f769f5b3bc_b.jpg
232,1780,harrison & co,1,http://farm4.staticflickr.com/3699/11219179186_1bb423581a_b.jpg
233,1780,j. johnson,1,http://farm3.staticflickr.com/2846/11219181806_d1d7ea2aa9_b.jpg
234,1780,paris,1,http://farm6.staticflickr.com/5531/11219151415_d9684ee5df_b.jpg
235,1780,w. griffin,1,http://farm6.staticflickr.com/5513/11219162386_97067c9379_b.jpg
236,1780,london,1,http://farm4.staticflickr.com/3768/11219170355_0ef436a403_b.jpg
237,1780,"london,]",1,http://farm3.staticflickr.com/2833/11219158554_5818b922df_b.jpg
238,1780,"newcastle-upon-tyne, gateshead, north shields, etc",1,http://farm4.staticflickr.com/3773/11219163865_ac121b6aed_b.jpg
239,1780,dublin,1,http://farm3.staticflickr.com/2850/11219168486_bf1cc2e0c7_b.jpg
240,1790,london,1,http://farm4.staticflickr.com/3690/11219190055_d71c3b7396_b.jpg
241,1790,calcutta,1,http://farm8.staticflickr.com/7316/11219190414_3bbccd626d_b.jpg
242,1790,london,1,http://farm6.staticflickr.com/5541/11219182535_acece082a9_b.jpg
243,1790,dublin,1,http://farm8.staticflickr.com/7339/11219193315_903a1de0e7_b.jpg
244,1790,london,1,http://farm6.staticflickr.com/5544/11047006606_caf387a248_b.jpg
245,1790,edinburgh,1,http://farm6.staticflickr.com/5508/11219310953_69332a2e0e_b.jpg
246,1790,london,1,http://farm4.staticflickr.com/3729/11219193136_ab30bb1734_b.jpg
247,1790,"poincot, paris,] 1788-93",1,http://farm3.staticflickr.com/2876/11047005166_7f617811af_b.jpg
